 f    	 m    	new-m	diff
1059	1	1	
1060	1	1	
1061	1	1	
1062	1	1	
1064	1	1	
1066	1	1	
1067	1	1	
1068	1	1	
1068	2	2	
1069	1	1	
1069	2	2	
1070	1	1	
1071	1	1	
1071	4	2	update income set mem_id=2 where fs_id=1071 and mem_id=4;
1072	1	1	
1073	1	1	
1073	2	2	
1073	3	3	
1074	1	1	
1074	2	2	
1074	3	3	
1075	1	1	
1075	2	2	
1077	1	1	
1077	2	2	
1078	1	1	
1078	2	2	
1079	1	1	
1080	1	1	
1081	1	1	
1081	3	2	update income set mem_id=2 where fs_id=1081 and mem_id=3;
1081	4	3	update income set mem_id=3 where fs_id=1081 and mem_id=4;
1082	1	1	
1082	2	2	
1088	1	1	
1089	1	1	
1090	1	1	
1092	1	1	
1094	1	1	
1095	1	1	
1096	1	1	
1096	2	2	
1096	3	3	
1097	1	1	
1099	1	1	
1099	2	2	
1099	4	3	update income set mem_id=3 where fs_id=1099 and mem_id=4;
1100	1	1	
1100	2	2	
1100	3	3	
1100	6	4	update income set mem_id=4 where fs_id=1100 and mem_id=6;
1100	7	5	update income set mem_id=5 where fs_id=1100 and mem_id=7;
1101	1	1	
1101	4	2	update income set mem_id=2 where fs_id=1101 and mem_id=4;
1101	5	3	update income set mem_id=3 where fs_id=1101 and mem_id=5;
1102	1	1	
1102	3	2	update income set mem_id=2 where fs_id=1102 and mem_id=3;
1102	4	3	update income set mem_id=3 where fs_id=1102 and mem_id=4;
1102	5	4	update income set mem_id=4 where fs_id=1102 and mem_id=5;
1103	1	1	
1104	1	1	
1104	2	2	
1104	3	3	
1104	4	4	
1104	5	5	
1105	1	1	
1105	2	2	
1105	3	3	
1106	1	1	
1106	2	2	
1106	3	3	
1106	5	4	update income set mem_id=4 where fs_id=1106 and mem_id=5;
1107	1	1	
1108	1	1	
1108	2	2	
1108	3	3	
1109	1	1	
1110	1	1	
1110	2	2	
1111	1	1	
1111	2	2	
1116	1	1	
1117	1	1	
1117	2	2	
1118	1	1	
1118	2	2	
1118	3	3	
1120	1	1	
1120	2	2	
1121	1	1	
1121	2	2	
1121	3	3	
1121	4	4	
1121	5	5	
1121	6	6	
1124	1	1	
1124	2	2	
1124	4	3	update income set mem_id=3 where fs_id=1124 and mem_id=4;
1124	6	4	update income set mem_id=4 where fs_id=1124 and mem_id=6;
1124	7	5	update income set mem_id=5 where fs_id=1124 and mem_id=7;
1124	8	6	update income set mem_id=6 where fs_id=1124 and mem_id=8;
1124	10	7	update income set mem_id=7 where fs_id=1124 and mem_id=10;
1124	11	8	update income set mem_id=8 where fs_id=1124 and mem_id=11;
1125	1	1	
1125	2	2	
1125	7	3	update income set mem_id=3 where fs_id=1125 and mem_id=7;
1126	1	1	
1126	2	2	
1126	3	3	
1127	1	1	
1127	2	2	
1128	1	1	
1128	2	2	
1128	3	3	
1130	1	1	
1130	2	2	
1130	3	3	
1130	4	4	
1131	1	1	
1131	3	2	update income set mem_id=2 where fs_id=1131 and mem_id=3;
1131	5	3	update income set mem_id=3 where fs_id=1131 and mem_id=5;
1131	6	4	update income set mem_id=4 where fs_id=1131 and mem_id=6;
1131	7	5	update income set mem_id=5 where fs_id=1131 and mem_id=7;
1132	1	1	
1132	2	2	
1133	1	1	
1133	5	2	update income set mem_id=2 where fs_id=1133 and mem_id=5;
1134	1	1	
1134	2	2	
1135	1	1	
1135	2	2	
1136	1	1	
1136	2	2	
1137	1	1	
1138	1	1	
1138	2	2	
1139	1	1	
1139	2	2	
1142	1	1	
1143	1	1	
1143	2	2	
1144	1	1	
1144	2	2	
1145	1	1	
1145	2	2	
1145	3	3	
1146	1	1	
1146	2	2	
1146	3	3	
1146	4	4	
1149	1	1	
1149	2	2	
1149	3	3	
1149	4	4	
1150	1	1	
1150	2	2	
1150	3	3	
1150	4	4	
1151	1	1	
1151	2	2	
1151	3	3	
1152	1	1	
1153	1	1	
1153	2	2	
1153	3	3	
1153	4	4	
1153	5	5	
1153	8	6	update income set mem_id=6 where fs_id=1153 and mem_id=8;
1153	9	7	update income set mem_id=7 where fs_id=1153 and mem_id=9;
1154	1	1	
1154	2	2	
1154	3	3	
1155	1	1	
1155	2	2	
1155	3	3	
1155	4	4	
1158	1	1	
1158	2	2	
1158	3	3	
1158	4	4	
1158	5	5	
1158	6	6	
1158	7	7	
1158	8	8	
1159	1	1	
1161	1	1	
1161	2	2	
1162	1	1	
1163	1	1	
1163	2	2	
1165	1	1	
1165	2	2	
1165	3	3	
1165	4	4	
1165	5	5	
1166	1	1	
1166	2	2	
1167	1	1	
1167	2	2	
1168	1	1	
1168	2	2	
1169	1	1	
1169	2	2	
1170	1	1	
1170	2	2	
1170	3	3	
1171	1	1	
1173	1	1	
1173	2	2	
1174	1	1	
1174	2	2	
1175	1	1	
1175	2	2	
1176	1	1	
1176	2	2	
1177	1	1	
1177	2	2	
1177	3	3	
1177	4	4	
1178	1	1	
1178	2	2	
1178	3	3	
1179	1	1	
1179	2	2	
1180	1	1	
1180	2	2	
1180	3	3	
1181	1	1	
1181	2	2	
1183	1	1	
1183	2	2	
1184	1	1	
1184	2	2	
1185	1	1	
1185	2	2	
1185	3	3	
1185	4	4	
1186	1	1	
1188	1	1	
1190	1	1	
1191	1	1	
1192	1	1	
1192	2	2	
1192	3	3	
1192	4	4	
1192	5	5	
1192	6	6	
1193	1	1	
1193	2	2	
1194	1	1	
1194	2	2	
1194	3	3	
1195	1	1	
1195	2	2	
1196	1	1	
1196	2	2	
1197	1	1	
1197	2	2	
1197	3	3	
1197	4	4	
1198	1	1	
1198	2	2	
1198	3	3	
1198	4	4	
1198	5	5	
1201	1	1	
1202	1	1	
1202	2	2	
1202	3	3	
1202	4	4	
1202	5	5	
1202	6	6	
1203	1	1	
1203	2	2	
1204	1	1	
1204	2	2	
1205	1	1	
1205	2	2	
1206	1	1	
1208	1	1	
1209	1	1	
1209	2	2	
1209	3	3	
1209	4	4	
1209	5	5	
1209	6	6	
1209	7	7	
1209	8	8	
1209	9	9	
1209	10	10	
1209	11	11	
1209	12	12	
1211	1	1	
1211	2	2	
1212	1	1	
1212	2	2	
1214	1	1	
1214	2	2	
1214	3	3	
1215	1	1	
1215	2	2	
1215	3	3	
1216	1	1	
1218	1	1	
1218	2	2	
1219	1	1	
1219	2	2	
1220	1	1	
1220	2	2	
1221	1	1	
1221	2	2	
1221	3	3	
1222	1	1	
1222	2	2	
1223	1	1	
1225	1	1	
1225	2	2	
1225	3	3	
1225	4	4	
1225	5	5	
1226	1	1	
1227	2	1	update income set mem_id=1 where fs_id=1227 and mem_id=2;
1228	1	1	
1228	2	2	
1229	1	1	
1231	1	1	
1231	2	2	
1231	3	3	
1231	4	4	
1231	6	5	update income set mem_id=5 where fs_id=1231 and mem_id=6;
1232	1	1	
1232	2	2	
1233	1	1	
1234	1	1	
1234	2	2	
1234	4	3	update income set mem_id=3 where fs_id=1234 and mem_id=4;
1235	1	1	
1235	3	2	update income set mem_id=2 where fs_id=1235 and mem_id=3;
1237	1	1	
1238	1	1	
1238	2	2	
1238	3	3	
1239	1	1	
1240	1	1	
1240	2	2	
1241	1	1	
1241	2	2	
1241	3	3	
1241	6	4	update income set mem_id=4 where fs_id=1241 and mem_id=6;
1242	1	1	
1243	1	1	
1243	2	2	
1244	1	1	
1244	2	2	
1244	3	3	
1244	4	4	
1244	5	5	
1244	6	6	
1245	1	1	
1246	1	1	
1247	1	1	
1247	2	2	
1247	3	3	
1248	1	1	
1248	2	2	
1248	3	3	
1248	4	4	
1249	1	1	
1249	2	2	
1250	1	1	
1250	2	2	
1250	3	3	
1251	1	1	
1251	2	2	
1251	3	3	
1252	1	1	
1252	2	2	
1252	3	3	
1254	1	1	
1254	2	2	
1256	1	1	
1257	1	1	
1257	6	2	update income set mem_id=2 where fs_id=1257 and mem_id=6;
1260	1	1	
1260	2	2	
1261	1	1	
1262	1	1	
1262	2	2	
1263	1	1	
1263	2	2	
1263	3	3	
1263	4	4	
1263	5	5	
1263	6	6	
1263	7	7	
1264	1	1	
1264	2	2	
1264	3	3	
1264	4	4	
1264	5	5	
1264	6	6	
1264	7	7	
1267	1	1	
1267	2	2	
1267	3	3	
1270	1	1	
1270	3	2	update income set mem_id=2 where fs_id=1270 and mem_id=3;
1270	5	3	update income set mem_id=3 where fs_id=1270 and mem_id=5;
1271	1	1	
1271	2	2	
1274	1	1	
1278	1	1	
1278	2	2	
1279	1	1	
1280	1	1	
1280	2	2	
1281	1	1	
1281	2	2	
1281	3	3	
1283	1	1	
1283	2	2	
1283	3	3	
1283	4	4	
1285	1	1	
1285	2	2	
1285	3	3	
1285	4	4	
1286	1	1	
1286	2	2	
1286	3	3	
1287	1	1	
1288	1	1	
1289	1	1	
1294	1	1	
1297	1	1	
1297	2	2	
1297	3	3	
1300	1	1	
1301	1	1	
1301	2	2	
1302	1	1	
1303	1	1	
1303	2	2	
1303	3	3	
1303	4	4	
1303	5	5	
1304	1	1	
1304	2	2	
1306	1	1	
1306	3	2	update income set mem_id=2 where fs_id=1306 and mem_id=3;
1308	1	1	
1308	3	2	update income set mem_id=2 where fs_id=1308 and mem_id=3;
1308	4	3	update income set mem_id=3 where fs_id=1308 and mem_id=4;
1310	1	1	
1312	1	1	
1312	2	2	
1312	3	3	
1312	4	4	
1313	1	1	
1313	2	2	
1313	3	3	
1314	1	1	
1315	1	1	
1315	2	2	
1316	1	1	
1316	3	2	update income set mem_id=2 where fs_id=1316 and mem_id=3;
1316	4	3	update income set mem_id=3 where fs_id=1316 and mem_id=4;
1316	5	4	update income set mem_id=4 where fs_id=1316 and mem_id=5;
1319	1	1	
1319	3	2	update income set mem_id=2 where fs_id=1319 and mem_id=3;
1320	1	1	
1320	2	2	
1320	3	3	
1321	1	1	
1321	2	2	
1321	3	3	
1322	1	1	
1322	2	2	
1323	1	1	
1323	2	2	
1323	3	3	
1323	4	4	
1323	7	5	update income set mem_id=5 where fs_id=1323 and mem_id=7;
1324	1	1	
1325	1	1	
1325	2	2	
1326	1	1	
1327	1	1	
1327	2	2	
1327	3	3	
1328	1	1	
1328	2	2	
1329	1	1	
1329	3	2	update income set mem_id=2 where fs_id=1329 and mem_id=3;
1330	1	1	
1330	2	2	
1330	5	3	update income set mem_id=3 where fs_id=1330 and mem_id=5;
1332	1	1	
1333	1	1	
1336	1	1	
1336	2	2	
1337	1	1	
1338	1	1	
1339	1	1	
1339	4	2	update income set mem_id=2 where fs_id=1339 and mem_id=4;
1339	10	3	update income set mem_id=3 where fs_id=1339 and mem_id=10;
1340	1	1	
1340	2	2	
1340	3	3	
1341	1	1	
1341	2	2	
1342	1	1	
1343	1	1	
1343	2	2	
1344	1	1	
1344	2	2	
1347	1	1	
1347	2	2	
1347	3	3	
1347	4	4	
1347	5	5	
1347	6	6	
1348	1	1	
1348	2	2	
1349	1	1	
1349	2	2	
1349	3	3	
1351	1	1	
1351	2	2	
1351	3	3	
1352	1	1	
1352	2	2	
1353	1	1	
1353	2	2	
1354	1	1	
1354	2	2	
1354	3	3	
1355	1	1	
1355	2	2	
1355	3	3	
1355	4	4	
1355	5	5	
1355	6	6	
1355	7	7	
1355	8	8	
1355	9	9	
1356	1	1	
1356	2	2	
1356	3	3	
1357	1	1	
1357	2	2	
1358	1	1	
1358	2	2	
1358	3	3	
1359	1	1	
1359	2	2	
1360	1	1	
1360	2	2	
1361	1	1	
1361	2	2	
1362	1	1	
1362	2	2	
1363	1	1	
1363	2	2	
1364	1	1	
1364	2	2	
1364	3	3	
1365	1	1	
1365	2	2	
1365	3	3	
1366	1	1	
1366	2	2	
1368	1	1	
1368	2	2	
1368	3	3	
1368	4	4	
1371	1	1	
1371	2	2	
1371	3	3	
1371	4	4	
1371	5	5	
1372	1	1	
1372	2	2	
1372	3	3	
1373	1	1	
1373	2	2	
1373	3	3	
1373	4	4	
1373	5	5	
1373	6	6	
1374	1	1	
1374	2	2	
1374	3	3	
1375	1	1	
1375	2	2	
1375	3	3	
1375	4	4	
1375	5	5	
1375	6	6	
1375	7	7	
1375	8	8	
1376	1	1	
1376	2	2	
1379	1	1	
1379	2	2	
1379	3	3	
1379	4	4	
1380	1	1	
1380	2	2	
1380	3	3	
1380	4	4	
1381	1	1	
1382	1	1	
1383	1	1	
1383	3	2	update income set mem_id=2 where fs_id=1383 and mem_id=3;
1383	4	3	update income set mem_id=3 where fs_id=1383 and mem_id=4;
1383	5	4	update income set mem_id=4 where fs_id=1383 and mem_id=5;
1384	1	1	
1384	2	2	
1384	3	3	
1384	4	4	
1384	5	5	
1384	6	6	
1385	1	1	
1385	3	2	update income set mem_id=2 where fs_id=1385 and mem_id=3;
1385	4	3	update income set mem_id=3 where fs_id=1385 and mem_id=4;
1385	5	4	update income set mem_id=4 where fs_id=1385 and mem_id=5;
1385	6	5	update income set mem_id=5 where fs_id=1385 and mem_id=6;
1385	7	6	update income set mem_id=6 where fs_id=1385 and mem_id=7;
1386	1	1	
1387	1	1	
1387	3	2	update income set mem_id=2 where fs_id=1387 and mem_id=3;
1387	4	3	update income set mem_id=3 where fs_id=1387 and mem_id=4;
1389	1	1	
1389	2	2	
1391	1	1	
1391	2	2	
1392	1	1	
1392	2	2	
1393	1	1	
1393	2	2	
1393	3	3	
1393	4	4	
1394	1	1	
1396	1	1	
1396	2	2	
1396	3	3	
1396	4	4	
1398	1	1	
1398	2	2	
1398	4	3	update income set mem_id=3 where fs_id=1398 and mem_id=4;
1399	1	1	
1399	2	2	
1400	1	1	
1400	2	2	
1402	1	1	
1405	1	1	
1405	2	2	
1406	1	1	
1406	2	2	
1407	1	1	
1408	1	1	
1408	2	2	
1409	1	1	
1409	2	2	
1410	1	1	
1410	2	2	
1411	1	1	
1411	2	2	
1412	1	1	
1412	2	2	
1414	1	1	
1414	2	2	
1416	1	1	
1416	2	2	
1417	1	1	
1417	2	2	
1417	3	3	
1418	1	1	
1418	2	2	
1418	3	3	
1418	4	4	
1419	1	1	
1419	2	2	
1419	3	3	
1419	4	4	
1419	5	5	
1419	6	6	
1419	7	7	
1419	8	8	
1419	9	9	
1419	10	10	
1420	1	1	
1420	2	2	
1421	1	1	
1421	2	2	
1422	1	1	
1422	3	2	update income set mem_id=2 where fs_id=1422 and mem_id=3;
1422	5	3	update income set mem_id=3 where fs_id=1422 and mem_id=5;
1423	1	1	
1423	2	2	
1423	3	3	
1423	4	4	
1423	6	5	update income set mem_id=5 where fs_id=1423 and mem_id=6;
1424	1	1	
1424	2	2	
1426	1	1	
1426	2	2	
1426	3	3	
1426	4	4	
1426	5	5	
1426	6	6	
1426	7	7	
1426	8	8	
1427	1	1	
1427	2	2	
1427	3	3	
1428	1	1	
1428	2	2	
1429	1	1	
1429	2	2	
1431	1	1	
1432	1	1	
1432	2	2	
1436	1	1	
1436	2	2	
1437	1	1	
1438	1	1	
1439	1	1	
1439	2	2	
1440	1	1	
1440	3	2	update income set mem_id=2 where fs_id=1440 and mem_id=3;
1440	4	3	update income set mem_id=3 where fs_id=1440 and mem_id=4;
1441	1	1	
1441	2	2	
1443	1	1	
1443	4	2	update income set mem_id=2 where fs_id=1443 and mem_id=4;
1443	5	3	update income set mem_id=3 where fs_id=1443 and mem_id=5;
1443	6	4	update income set mem_id=4 where fs_id=1443 and mem_id=6;
1443	8	5	update income set mem_id=5 where fs_id=1443 and mem_id=8;
1443	9	6	update income set mem_id=6 where fs_id=1443 and mem_id=9;
1444	1	1	
1444	2	2	
1445	1	1	
1445	2	2	
1446	1	1	
1446	2	2	
1457	1	1	
1457	2	2	
1458	1	1	
1458	2	2	
1459	1	1	
1459	2	2	
1460	1	1	
1461	1	1	
1461	2	2	
1462	1	1	
1462	2	2	
1464	1	1	
1464	3	2	update income set mem_id=2 where fs_id=1464 and mem_id=3;
1464	4	3	update income set mem_id=3 where fs_id=1464 and mem_id=4;
1466	1	1	
1466	2	2	
1468	1	1	
1468	2	2	
1469	1	1	
1469	2	2	
1470	1	1	
1470	2	2	
1470	3	3	
1470	6	4	update income set mem_id=4 where fs_id=1470 and mem_id=6;
1470	7	5	update income set mem_id=5 where fs_id=1470 and mem_id=7;
1471	1	1	
1471	2	2	
1472	1	1	
1472	2	2	
1473	1	1	
1473	2	2	
1473	3	3	
1473	4	4	
1473	7	5	update income set mem_id=5 where fs_id=1473 and mem_id=7;
1473	10	6	update income set mem_id=6 where fs_id=1473 and mem_id=10;
1474	1	1	
1475	1	1	
1475	2	2	
1478	1	1	
1478	2	2	
1479	1	1	
1479	2	2	
1479	3	3	
1480	1	1	
1481	1	1	
1481	3	2	update income set mem_id=2 where fs_id=1481 and mem_id=3;
1482	1	1	
1482	2	2	
1482	3	3	
1482	6	4	update income set mem_id=4 where fs_id=1482 and mem_id=6;
1483	1	1	
1483	2	2	
1484	1	1	
1484	2	2	
1485	1	1	
1485	2	2	
1486	1	1	
1486	3	2	update income set mem_id=2 where fs_id=1486 and mem_id=3;
1487	1	1	
1487	2	2	
1488	1	1	
1489	1	1	
1489	2	2	
1490	1	1	
1490	3	2	update income set mem_id=2 where fs_id=1490 and mem_id=3;
1490	4	3	update income set mem_id=3 where fs_id=1490 and mem_id=4;
1490	10	4	update income set mem_id=4 where fs_id=1490 and mem_id=10;
1491	1	1	
1491	2	2	
1493	1	1	
1493	2	2	
1493	3	3	
1494	1	1	
1494	2	2	
1495	1	1	
1495	2	2	
1495	3	3	
1495	4	4	
1495	5	5	
1495	6	6	
1495	7	7	
1496	1	1	
1496	2	2	
1496	3	3	
1496	4	4	
1496	5	5	
1497	1	1	
1497	3	2	update income set mem_id=2 where fs_id=1497 and mem_id=3;
1497	4	3	update income set mem_id=3 where fs_id=1497 and mem_id=4;
1497	5	4	update income set mem_id=4 where fs_id=1497 and mem_id=5;
1497	6	5	update income set mem_id=5 where fs_id=1497 and mem_id=6;
1498	1	1	
1499	1	1	
1499	2	2	
1499	3	3	
1501	1	1	
1501	2	2	
1501	3	3	
1502	1	1	
1502	2	2	
1502	3	3	
1503	1	1	
1503	2	2	
1504	1	1	
1504	2	2	
1504	3	3	
1506	1	1	
1506	2	2	
1507	1	1	
1507	2	2	
1508	1	1	
1508	2	2	
1509	1	1	
1509	2	2	
1511	1	1	
1511	2	2	
1513	1	1	
1514	1	1	
1516	1	1	
1516	3	2	update income set mem_id=2 where fs_id=1516 and mem_id=3;
1519	1	1	
1519	3	2	update income set mem_id=2 where fs_id=1519 and mem_id=3;
1519	4	3	update income set mem_id=3 where fs_id=1519 and mem_id=4;
1519	5	4	update income set mem_id=4 where fs_id=1519 and mem_id=5;
1519	6	5	update income set mem_id=5 where fs_id=1519 and mem_id=6;
1519	7	6	update income set mem_id=6 where fs_id=1519 and mem_id=7;
1519	8	7	update income set mem_id=7 where fs_id=1519 and mem_id=8;
1519	9	8	update income set mem_id=8 where fs_id=1519 and mem_id=9;
1523	1	1	
1523	2	2	
1527	1	1	
1527	2	2	
1530	1	1	
1530	2	2	
1530	3	3	
1530	5	4	update income set mem_id=4 where fs_id=1530 and mem_id=5;
1536	1	1	
1536	2	2	
1536	3	3	
1540	1	1	
1541	1	1	
1545	1	1	
1545	2	2	
1548	1	1	
1548	2	2	
1550	1	1	
1551	1	1	
1553	1	1	
1553	2	2	
1553	3	3	
1553	4	4	
1554	1	1	
1554	2	2	
1555	1	1	
1555	2	2	
1556	1	1	
1556	3	2	update income set mem_id=2 where fs_id=1556 and mem_id=3;
1556	6	3	update income set mem_id=3 where fs_id=1556 and mem_id=6;
1556	7	4	update income set mem_id=4 where fs_id=1556 and mem_id=7;
1557	1	1	
1557	2	2	
1560	1	1	
1562	1	1	
1562	2	2	
1563	1	1	
1565	1	1	
1565	2	2	
1566	1	1	
1566	2	2	
1567	1	1	
1568	1	1	
1568	2	2	
1569	1	1	
1569	2	2	
1571	1	1	
1571	2	2	
1572	1	1	
1572	2	2	
1572	3	3	
1574	1	1	
1574	2	2	
1575	1	1	
1575	2	2	
1576	1	1	
1576	2	2	
1577	1	1	
1578	1	1	
1578	2	2	
1579	1	1	
1581	1	1	
1582	1	1	
1582	2	2	
1584	1	1	
1584	2	2	
1587	1	1	
1588	1	1	
1589	1	1	
1590	1	1	
1591	1	1	
1591	2	2	
1592	1	1	
1594	1	1	
1594	2	2	
1595	1	1	
1595	2	2	
1596	1	1	
1597	1	1	
1598	1	1	
1599	1	1	
1599	2	2	
1600	1	1	
1601	1	1	
1602	1	1	
1603	1	1	
1604	1	1	
1604	2	2	
1605	1	1	
1606	1	1	
1609	1	1	
1609	2	2	
1610	1	1	
1611	1	1	
1611	2	2	
1611	3	3	
1612	1	1	
1612	4	2	update income set mem_id=2 where fs_id=1612 and mem_id=4;
1613	1	1	
1613	2	2	
1617	1	1	
1617	2	2	
1619	1	1	
1619	2	2	
1620	1	1	
1623	1	1	
1625	1	1	
1625	2	2	
1625	3	3	
1626	1	1	
1627	1	1	
1627	2	2	
1629	1	1	
1630	1	1	
1630	2	2	
1631	1	1	
1635	1	1	
1636	1	1	
1636	2	2	
1636	3	3	
1638	1	1	
1639	1	1	
1640	1	1	
1641	1	1	
1642	1	1	
1643	1	1	
1643	2	2	
1644	1	1	
1645	1	1	
1646	1	1	
1646	2	2	
1648	1	1	
1649	1	1	
1650	1	1	
1650	2	2	
1651	1	1	
1654	1	1	
1655	1	1	
1655	2	2	
1656	1	1	
1656	2	2	
1657	1	1	
1658	1	1	
1658	2	2	
1658	3	3	
1659	1	1	
1660	1	1	
1660	2	2	
1661	1	1	
1661	2	2	
1661	3	3	
1661	4	4	
1663	1	1	
1663	2	2	
1664	1	1	
1664	2	2	
1665	1	1	
1665	3	2	update income set mem_id=2 where fs_id=1665 and mem_id=3;
1665	4	3	update income set mem_id=3 where fs_id=1665 and mem_id=4;
1666	1	1	
1667	1	1	
1668	1	1	
1668	2	2	
1668	3	3	
1669	1	1	
1670	1	1	
1670	2	2	
1670	3	3	
1671	1	1	
1671	2	2	
1671	3	3	
1671	4	4	
1671	5	5	
1672	1	1	
1672	2	2	
1673	1	1	
1674	1	1	
1674	2	2	
1674	3	3	
1675	1	1	
1675	2	2	
1675	3	3	
1675	4	4	
1676	1	1	
1676	2	2	
1677	1	1	
1677	2	2	
1678	1	1	
1679	1	1	
1680	1	1	
1680	2	2	
1681	1	1	
1682	1	1	
1682	2	2	
1682	3	3	
1682	4	4	
1682	5	5	
1683	1	1	
1683	2	2	
1684	1	1	
1684	2	2	
1685	1	1	
1685	2	2	
1685	6	3	update income set mem_id=3 where fs_id=1685 and mem_id=6;
1686	1	1	
1687	1	1	
1687	2	2	
1687	3	3	
1687	4	4	
1687	5	5	
1688	1	1	
1688	2	2	
1688	3	3	
1689	1	1	
1690	1	1	
1691	1	1	
1691	2	2	
1692	1	1	
1693	1	1	
1693	2	2	
1694	1	1	
1694	2	2	
1694	3	3	
1694	4	4	
1695	1	1	
1695	2	2	
1695	3	3	
1695	4	4	
1695	5	5	
1696	1	1	
1696	2	2	
1696	3	3	
1696	4	4	
1697	1	1	
1698	1	1	
1698	2	2	
1698	3	3	
1698	4	4	
1698	5	5	
1698	6	6	
1699	1	1	
1699	2	2	
1699	3	3	
1700	1	1	
1701	1	1	
1701	2	2	
1701	3	3	
1701	4	4	
1702	1	1	
1702	2	2	
1702	3	3	
1702	4	4	
1702	5	5	
1703	1	1	
1704	1	1	
1704	2	2	
1705	1	1	
1705	2	2	
1706	1	1	
1706	3	2	update income set mem_id=2 where fs_id=1706 and mem_id=3;
1707	1	1	
1707	2	2	
1707	3	3	
1707	4	4	
1707	5	5	
1707	6	6	
1707	7	7	
1707	8	8	
1708	1	1	
1708	2	2	
1708	3	3	
1708	4	4	
1709	1	1	
1710	1	1	
1710	2	2	
1710	3	3	
1710	4	4	
1711	1	1	
1711	2	2	
1717	1	1	
1718	1	1	
1719	1	1	
1720	1	1	
1722	1	1	
1722	2	2	
1723	1	1	
1723	2	2	
1724	1	1	
1724	2	2	
1725	1	1	
1727	1	1	
1727	2	2	
1727	3	3	
1728	1	1	
1729	1	1	
1730	1	1	
1730	2	2	
1731	1	1	
1731	2	2	
1732	1	1	
1733	1	1	
1735	1	1	
1735	2	2	
1736	1	1	
1736	2	2	
1736	3	3	
1736	4	4	
1736	5	5	
1737	1	1	
1737	2	2	
1737	4	3	update income set mem_id=3 where fs_id=1737 and mem_id=4;
1738	1	1	
1738	3	2	update income set mem_id=2 where fs_id=1738 and mem_id=3;
1738	4	3	update income set mem_id=3 where fs_id=1738 and mem_id=4;
1738	6	4	update income set mem_id=4 where fs_id=1738 and mem_id=6;
1740	1	1	
1741	1	1	
1742	1	1	
1742	2	2	
1743	1	1	
1744	1	1	
1745	1	1	
1745	2	2	
1746	1	1	
1746	2	2	
1746	3	3	
1747	1	1	
1747	2	2	
1748	1	1	
1748	2	2	
1748	3	3	
1749	1	1	
1749	2	2	
1750	1	1	
1750	3	2	update income set mem_id=2 where fs_id=1750 and mem_id=3;
1750	6	3	update income set mem_id=3 where fs_id=1750 and mem_id=6;
1750	12	4	update income set mem_id=4 where fs_id=1750 and mem_id=12;
1751	1	1	
1752	1	1	
1753	1	1	
1753	2	2	
1754	1	1	
1754	2	2	
1754	3	3	
1754	4	4	
1754	5	5	
1754	6	6	
1754	7	7	
1755	1	1	
1756	1	1	
1756	3	2	update income set mem_id=2 where fs_id=1756 and mem_id=3;
1757	1	1	
1757	2	2	
1757	3	3	
1757	4	4	
1757	5	5	
1758	1	1	
1758	2	2	
1758	3	3	
1758	4	4	
1758	5	5	
1759	1	1	
1759	2	2	
1760	1	1	
1761	1	1	
1761	2	2	
1761	3	3	
1762	1	1	
1763	1	1	
1763	3	2	update income set mem_id=2 where fs_id=1763 and mem_id=3;
1764	1	1	
1765	1	1	
1765	2	2	
1765	3	3	
1765	4	4	
1765	5	5	
1766	1	1	
1767	1	1	
1768	1	1	
1769	1	1	
1769	2	2	
1770	1	1	
1770	2	2	
1770	3	3	
1770	4	4	
1771	1	1	
1772	1	1	
1772	2	2	
1773	1	1	
1773	2	2	
1773	3	3	
1773	5	4	update income set mem_id=4 where fs_id=1773 and mem_id=5;
1773	6	5	update income set mem_id=5 where fs_id=1773 and mem_id=6;
1774	1	1	
1774	2	2	
1775	1	1	
1776	1	1	
1778	1	1	
1778	2	2	
1779	1	1	
1779	2	2	
1779	3	3	
1780	1	1	
1780	2	2	
1780	3	3	
1780	4	4	
1781	1	1	
1781	2	2	
1781	3	3	
1781	5	4	update income set mem_id=4 where fs_id=1781 and mem_id=5;
1782	1	1	
1782	2	2	
1782	3	3	
1783	1	1	
1783	2	2	
1784	1	1	
1784	2	2	
1801	1	1	
1802	1	1	
1802	2	2	
1807	1	1	
1807	2	2	
1811	1	1	
1811	2	2	
1812	1	1	
1812	2	2	
1816	1	1	
1816	2	2	
1817	1	1	
1818	1	1	
1819	1	1	
1819	2	2	
1819	3	3	
1820	1	1	
1820	2	2	
1820	3	3	
1821	1	1	
1821	3	2	update income set mem_id=2 where fs_id=1821 and mem_id=3;
1821	5	3	update income set mem_id=3 where fs_id=1821 and mem_id=5;
1821	6	4	update income set mem_id=4 where fs_id=1821 and mem_id=6;
1822	1	1	
1822	2	2	
1823	1	1	
1823	2	2	
1823	3	3	
1823	11	4	update income set mem_id=4 where fs_id=1823 and mem_id=11;
1824	1	1	
1824	2	2	
1825	1	1	
1825	4	2	update income set mem_id=2 where fs_id=1825 and mem_id=4;
1826	1	1	
1826	2	2	
1827	1	1	
1827	2	2	
1827	3	3	
1827	4	4	
1827	5	5	
1827	6	6	
1827	7	7	
1827	8	8	
1827	9	9	
1827	10	10	
1827	11	11	
1827	12	12	
1827	13	13	
1828	1	1	
1828	3	2	update income set mem_id=2 where fs_id=1828 and mem_id=3;
1829	1	1	
1831	1	1	
1833	1	1	
1833	2	2	
1834	1	1	
1835	1	1	
1835	2	2	
