 f    	 m    	new-m	diff
231	2	2	
233	1	1	
233	2	2	
234	1	1	
234	3	2	update income set mem_id=2 where fs_id=234 and mem_id=3;
234	5	3	update income set mem_id=3 where fs_id=234 and mem_id=5;
234	6	4	update income set mem_id=4 where fs_id=234 and mem_id=6;
237	1	1	
237	4	2	update income set mem_id=2 where fs_id=237 and mem_id=4;
237	5	3	update income set mem_id=3 where fs_id=237 and mem_id=5;
237	9	4	update income set mem_id=4 where fs_id=237 and mem_id=9;
239	1	1	
239	2	2	
241	1	1	
241	7	2	update income set mem_id=2 where fs_id=241 and mem_id=7;
241	8	3	update income set mem_id=3 where fs_id=241 and mem_id=8;
242	1	1	
242	2	2	
243	1	1	
243	2	2	
244	1	1	
244	2	2	
244	3	3	
244	4	4	
244	5	5	
244	6	6	
245	1	1	
245	2	2	
245	3	3	
245	4	4	
246	1	1	
246	2	2	
247	1	1	
247	2	2	
249	1	1	
249	2	2	
249	3	3	
249	4	4	
252	1	1	
252	2	2	
252	3	3	
252	4	4	
252	5	5	
252	6	6	
252	7	7	
254	1	1	
254	2	2	
254	3	3	
256	1	1	
256	2	2	
258	1	1	
258	2	2	
258	3	3	
258	4	4	
259	1	1	
259	2	2	
259	3	3	
261	1	1	
261	2	2	
261	3	3	
261	4	4	
262	1	1	
262	2	2	
262	6	3	update income set mem_id=3 where fs_id=262 and mem_id=6;
264	1	1	
264	2	2	
264	3	3	
265	1	1	
265	2	2	
265	3	3	
265	4	4	
265	5	5	
265	6	6	
265	7	7	
266	1	1	
266	2	2	
267	1	1	
267	2	2	
268	1	1	
268	2	2	
271	1	1	
272	1	1	
272	2	2	
273	1	1	
273	2	2	
273	3	3	
274	1	1	
274	2	2	
275	1	1	
276	1	1	
276	2	2	
276	3	3	
277	1	1	
277	2	2	
277	3	3	
278	1	1	
278	2	2	
278	3	3	
278	4	4	
278	6	5	update income set mem_id=5 where fs_id=278 and mem_id=6;
279	1	1	
279	2	2	
279	3	3	
280	1	1	
280	2	2	
280	3	3	
280	4	4	
281	1	1	
281	2	2	
281	3	3	
282	1	1	
283	1	1	
283	2	2	
286	1	1	
286	2	2	
286	3	3	
286	4	4	
288	1	1	
288	2	2	
288	3	3	
289	1	1	
290	1	1	
290	2	2	
291	1	1	
291	2	2	
291	3	3	
292	1	1	
293	1	1	
293	2	2	
293	3	3	
295	1	1	
295	4	2	update income set mem_id=2 where fs_id=295 and mem_id=4;
297	1	1	
297	3	2	update income set mem_id=2 where fs_id=297 and mem_id=3;
300	1	1	
300	2	2	
300	3	3	
301	1	1	
301	2	2	
301	3	3	
302	1	1	
302	2	2	
302	3	3	
302	4	4	
303	1	1	
303	2	2	
303	3	3	
303	4	4	
304	1	1	
304	2	2	
