mysql> select fid1,fid2,mem1,mem2,count(*) from mdetail group by fid1,fid2,mem1,mem2;
+------+------+------+------+----------+
| fid1 | fid2 | mem1 | mem2 | count(*) |
|   29 |   29 |    3 |    2 |        3 |
|   29 |   29 |    3 |    3 |        3 |
|   29 |   29 |    3 |    4 |        3 |
|   29 |   29 |    3 |    5 |        3 |
|   29 |   29 |    4 |    1 |        3 |
|   29 |   29 |    4 |    2 |        3 |
|   29 |   29 |    4 |    3 |        3 |
|   29 |   29 |    4 |    4 |        3 |
|   29 |   29 |    4 |    5 |        3 |
|   29 |   29 |    5 |    1 |        3 |
|   29 |   29 |    5 |    2 |        3 |
|   29 |   29 |    5 |    3 |        3 |
|   29 |   29 |    5 |    4 |        3 |
|   29 |   29 |    5 |    5 |        3 |
|   30 |   30 |    1 |    1 |        3 |
|   30 |   30 |    1 |    2 |        3 |
|   30 |   30 |    1 |    3 |        3 |
|   30 |   30 |    2 |    1 |        3 |
|   30 |   30 |    2 |    2 |        3 |
|   30 |   30 |    2 |    3 |        3 |
|   30 |   30 |    3 |    1 |        3 |
|   30 |   30 |    3 |    2 |        3 |
|   30 |   30 |    3 |    3 |        3 |
|   32 |   32 |    1 |    1 |        3 |
|   32 |   32 |    1 |    2 |        3 |
|   32 |   32 |    1 |    3 |        3 |
|   32 |   32 |    2 |    1 |        3 |
|   32 |   32 |    2 |    2 |        3 |
|   32 |   32 |    2 |    3 |        3 |
|   33 |   33 |    1 |    1 |        3 |
|   33 |   33 |    1 |    2 |        3 |
|   33 |   33 |    1 |    3 |        3 |
|   33 |   33 |    1 |    4 |        3 |
|   34 |   34 |    1 |    1 |        3 |
|   34 |   34 |    1 |    2 |        3 |
|   34 |   34 |    1 |    3 |        3 |
|   34 |   34 |    2 |    1 |        3 |
|   34 |   34 |    2 |    2 |        3 |
|   34 |   34 |    2 |    3 |        3 |
|   34 |   34 |    3 |    1 |        3 |
|   34 |   34 |    3 |    2 |        3 |
|   34 |   34 |    3 |    3 |        3 |
|   35 |   35 |    1 |    1 |        3 |
|   35 |   35 |    1 |    2 |        3 |
|   35 |   35 |    1 |    3 |        3 |
|   35 |   35 |    2 |    1 |        3 |
|   35 |   35 |    2 |    2 |        3 |
|   35 |   35 |    2 |    3 |        3 |
|   35 |   35 |    3 |    1 |        3 |
|   35 |   35 |    3 |    2 |        3 |
|   35 |   35 |    3 |    3 |        3 |
|   45 |   45 |    1 |    1 |        3 |
|   45 |   45 |    1 |    2 |        3 |
|   45 |   45 |    1 |    3 |        3 |
|   46 |   46 |    1 |    1 |        3 |
|   46 |   46 |    1 |    2 |        3 |
|   46 |   46 |    1 |    3 |        3 |
|   46 |   46 |    1 |    4 |        3 |
|   46 |   46 |    2 |    1 |        3 |
|   46 |   46 |    2 |    2 |        3 |
|   46 |   46 |    2 |    3 |        3 |
|   46 |   46 |    2 |    4 |        3 |
|   50 |   50 |    1 |    1 |        3 |
|   50 |   50 |    1 |    2 |        3 |
|   50 |   50 |    2 |    1 |        3 |
|   50 |   50 |    2 |    2 |        3 |
|   52 |   52 |    1 |    1 |        3 |
|   52 |   52 |    1 |    2 |        3 |
|   53 |   53 |    1 |    1 |        3 |
|   53 |   53 |    1 |    2 |        3 |
|   53 |   53 |    1 |    3 |        3 |
|   53 |   53 |    1 |    4 |        3 |
|   53 |   53 |    2 |    1 |        3 |
|   53 |   53 |    2 |    2 |        3 |
|   53 |   53 |    2 |    3 |        3 |
|   53 |   53 |    2 |    4 |        3 |
|   53 |   53 |    3 |    1 |        3 |
|   53 |   53 |    3 |    2 |        3 |
|   53 |   53 |    3 |    3 |        3 |
|   53 |   53 |    3 |    4 |        3 |
|   53 |   53 |    4 |    1 |        3 |
|   53 |   53 |    4 |    2 |        3 |
|   53 |   53 |    4 |    3 |        3 |
|   53 |   53 |    4 |    4 |        3 |
|   61 |   61 |    1 |    1 |        6 |
|   61 |   61 |    1 |    2 |        6 |
|   61 |   61 |    1 |    3 |        6 |
|   65 |   65 |    1 |    1 |        3 |
|   65 |   65 |    1 |    2 |        3 |
|   65 |   65 |    1 |    3 |        3 |
|   65 |   65 |    1 |    4 |        3 |
|   65 |   65 |    1 |    5 |        3 |
|   65 |   65 |    1 |    6 |        3 |
|   65 |   65 |    2 |    1 |        3 |
|   65 |   65 |    2 |    2 |        3 |
|   65 |   65 |    2 |    3 |        3 |
|   65 |   65 |    2 |    4 |        3 |
|   65 |   65 |    2 |    5 |        3 |
|   65 |   65 |    2 |    6 |        3 |
|   65 |   65 |    3 |    1 |        3 |
|   65 |   65 |    3 |    2 |        3 |
|   65 |   65 |    3 |    3 |        3 |
|   65 |   65 |    3 |    4 |        3 |
|   65 |   65 |    3 |    5 |        3 |
|   65 |   65 |    3 |    6 |        3 |
|   65 |   65 |    4 |    1 |        3 |
|   65 |   65 |    4 |    2 |        3 |
|   65 |   65 |    4 |    3 |        3 |
|   65 |   65 |    4 |    4 |        3 |
|   65 |   65 |    4 |    5 |        3 |
|   65 |   65 |    4 |    6 |        3 |
|   65 |   65 |    5 |    1 |        3 |
|   65 |   65 |    5 |    2 |        3 |
|   65 |   65 |    5 |    3 |        3 |
|   65 |   65 |    5 |    4 |        3 |
|   65 |   65 |    5 |    5 |        3 |
|   65 |   65 |    5 |    6 |        3 |
|   66 |   66 |    1 |    1 |        3 |
|   66 |   66 |    1 |    2 |        3 |
|   66 |   66 |    1 |    3 |        3 |
|   66 |   66 |    1 |    4 |        3 |
|   66 |   66 |    1 |    5 |        3 |
|   66 |   66 |    2 |    1 |        3 |
|   66 |   66 |    2 |    2 |        3 |
|   66 |   66 |    2 |    3 |        3 |
|   66 |   66 |    2 |    4 |        3 |
|   66 |   66 |    2 |    5 |        3 |
|   67 |   67 |    1 |    1 |        3 |
|   67 |   67 |    1 |    2 |        3 |
|   67 |   67 |    1 |    3 |        3 |
|   67 |   67 |    1 |    4 |        3 |
|   67 |   67 |    1 |    5 |        3 |
|   67 |   67 |    1 |    6 |        3 |
|   67 |   67 |    2 |    1 |        3 |
|   67 |   67 |    2 |    2 |        3 |
|   67 |   67 |    2 |    3 |        3 |
|   67 |   67 |    2 |    4 |        3 |
|   67 |   67 |    2 |    5 |        3 |
