mysql> select a.fs_id , a.mem_id , b.mem_id , a.fm_mm , a.income1+a.income2+a.income3+a.income4 as aCY , b.income1+b.income2+b.income3+b.income4 as bCY , IF(A.INCOME1=B.INCOME1,A.INCOME1,'') , IF(A.INCOME2=B.INCOME2,A.INCOME2,'') , IF(A.INCOME3=B.INCOME3 , A.INCOME3,'') , IF(A.INCOME4=B.INCOME4,A.INCOME4,'') from income a,income b where a.fs_id=b.fs_id and a.mem_id<>b.mem_id and( a.income1=b.income1 or a.income2=b.income2 or a.income3=b.income3 or a.income4=b.income4) and a.fm_mm= b.fm_mm and a.mem_id<b.mem_id;
+-------+--------+--------+-------+-------+------+--------------------------------------+--------------------------------------+----------------------------------------+--------------------------------------+
| fs_id | mem_id | mem_id | fm_mm | aCY   | bCY  | IF(A.INCOME1=B.INCOME1,A.INCOME1,'') | IF(A.INCOME2=B.INCOME2,A.INCOME2,'') | IF(A.INCOME3=B.INCOME3 , A.INCOME3,'') | IF(A.INCOME4=B.INCOME4,A.INCOME4,'') |
|    11 |      1 |      2 |     2 |   637 |  536 |                                      | 0                                    | 0                                      | 0                                    |
|    11 |      1 |      3 |     2 |   637 |  375 |                                      | 0                                    | 0                                      | 0                                    |
|    11 |      1 |      4 |     2 |   637 |  429 |                                      | 0                                    | 0                                      | 0                                    |
|    11 |      1 |      4 |     3 |   637 |  429 |                                      | 0                                    | 0                                      | 0                                    |
|    11 |      1 |      3 |     3 |   637 |  375 |                                      | 0                                    | 0                                      | 0                                    |
|    11 |      1 |      2 |     3 |   637 |  536 |                                      | 0                                    | 0                                      | 0                                    |
|    11 |      2 |      3 |     1 |   536 |  375 |                                      | 0                                    | 0                                      | 0                                    |
|    11 |      2 |      4 |     1 |   536 |  429 |                                      | 0                                    | 0                                      | 0                                    |
|    11 |      2 |      3 |     2 |   536 |  375 |                                      | 0                                    | 0                                      | 0                                    |
|    11 |      2 |      4 |     2 |   536 |  429 |                                      | 0                                    | 0                                      | 0                                    |
|    11 |      3 |      4 |     1 |   375 |  429 |                                      | 0                                    | 0                                      | 0                                    |
|    11 |      3 |      4 |     2 |   375 |  429 |                                      | 0                                    | 0                                      | 0                                    |
|    11 |      3 |      4 |     3 |   375 |  429 |                                      | 0                                    | 0                                      | 0                                    |
|    11 |      2 |      4 |     3 |   536 |  429 |                                      | 0                                    | 0                                      | 0                                    |
|    11 |      2 |      3 |     3 |   536 |  375 |                                      | 0                                    | 0                                      | 0                                    |
|    12 |      1 |      2 |     1 |   270 |  160 |                                      | 0                                    | 0                                      | 0                                    |
|    12 |      1 |      2 |     2 |   270 |  160 |                                      | 0                                    | 0                                      | 0                                    |
|    12 |      1 |      2 |     3 |   270 |  160 |                                      | 0                                    | 0                                      | 0                                    |
|    13 |      1 |      2 |     1 |   290 |  200 |                                      | 0                                    | 0                                      | 0                                    |
|    13 |      1 |      2 |     2 |   290 |  200 |                                      | 0                                    | 0                                      | 0                                    |
|    13 |      1 |      2 |     3 |   290 |  200 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      1 |      5 |     1 |   161 |  120 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      1 |      2 |     1 |   161 |  215 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      1 |      3 |     1 |   161 |  162 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      1 |      4 |     1 |   161 |  130 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      1 |      2 |     3 |   161 |  215 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      1 |      5 |     3 |   161 |  120 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      1 |      3 |     3 |   161 |  162 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      1 |      4 |     3 |   161 |  130 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      2 |      5 |     1 |   215 |  120 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      2 |      3 |     1 |   215 |  162 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      2 |      4 |     1 |   215 |  130 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      2 |      3 |     2 |   215 |  162 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      2 |      5 |     2 |   215 |  120 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      2 |      4 |     2 |   215 |  130 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      2 |      5 |     3 |   215 |  120 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      2 |      3 |     3 |   215 |  162 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      2 |      4 |     3 |   215 |  130 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      3 |      5 |     1 |   162 |  120 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      3 |      4 |     1 |   162 |  130 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      3 |      5 |     2 |   162 |  120 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      3 |      4 |     2 |   162 |  130 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      3 |      5 |     3 |   162 |  120 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      3 |      4 |     3 |   162 |  130 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      4 |      5 |     1 |   130 |  120 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      4 |      5 |     2 |   130 |  120 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      4 |      5 |     3 |   130 |  120 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      1 |      2 |     2 |   161 |  215 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      1 |      3 |     2 |   161 |  162 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      1 |      5 |     2 |   161 |  120 |                                      | 0                                    | 0                                      | 0                                    |
|    21 |      1 |      4 |     2 |   161 |  130 |                                      | 0                                    | 0                                      | 0                                    |
|    23 |      1 |      2 |     2 |   322 |    0 |                                      | 0                                    | 0                                      | 0                                    |
|    23 |      1 |      3 |     2 |   322 |    0 |                                      | 0                                    | 0                                      | 0                                    |
|    23 |      1 |      3 |     3 |   322 |    0 |                                      | 0                                    | 0                                      | 0                                    |
|    23 |      1 |      2 |     3 |   322 |    0 |                                      | 0                                    | 0                                      | 0                                    |
|    23 |      2 |      3 |     1 |     0 |    0 | 0                                    | 0                                    | 0                                      | 0                                    |
