mysql> select a.fs_id,a.mem_id,b.mem_id,a.income1+a.income2+a.income3+a.income4 as aCY,b.income1+b.income2+b.income3+b.income4 as bCY from income a,income b where a.fs_id=b.fs_id and a.mem_id<>b.mem_id and( a.income1=b.income1 or a.income2=b.income2 or a.income3=b.income3 or a.income4=b.income4) and a.fm_mm=1 and b.fm_mm=1 and a.mem_id>b.mem_id;
+-------+--------+--------+------+-------+
| fs_id | mem_id | mem_id | aCY  | bCY   |
|    73 |      4 |      3 | 1426 |  1783 |
|    73 |      5 |      1 |  891 |  3461 |
|    73 |      5 |      2 |  891 |  1664 |
|    73 |      5 |      3 |  891 |  1783 |
|    73 |      5 |      4 |  891 |  1426 |
|    76 |      2 |      1 | 1783 |  2378 |
|    77 |      2 |      1 |    0 |   750 |
|    79 |      2 |      1 |    0 |   500 |
|    80 |      5 |      1 |  800 |  1500 |
|    81 |      2 |      1 |    0 |     0 |
|    81 |      3 |      2 | 1189 |     0 |
|    81 |      3 |      1 | 1189 |     0 |
|    81 |      4 |      2 | 1426 |     0 |
|    81 |      4 |      3 | 1426 |  1189 |
|    81 |      4 |      1 | 1426 |     0 |
|    81 |      5 |      2 | 1426 |     0 |
|    81 |      5 |      3 | 1426 |  1189 |
|    81 |      5 |      4 | 1426 |  1426 |
|    81 |      5 |      1 | 1426 |     0 |
|    84 |      2 |      1 |    0 |  1500 |
|    86 |      3 |      1 |  772 |  1500 |
|    86 |      3 |      2 |  772 |     0 |
|    86 |      2 |      1 |    0 |  1500 |
|    88 |      3 |      1 |    0 |  7151 |
|    88 |      3 |      2 |    0 |  1545 |
|    88 |      2 |      1 | 1545 |  7151 |
|    88 |      4 |      3 | 3804 |     0 |
|    88 |      4 |      1 | 3804 |  7151 |
|    88 |      4 |      2 | 3804 |  1545 |
|    88 |      5 |      3 | 1426 |     0 |
|    88 |      5 |      1 | 1426 |  7151 |
|    88 |      5 |      2 | 1426 |  1545 |
|    88 |      5 |      4 | 1426 |  3804 |
|    96 |      3 |      1 | 1069 |  1500 |
|    97 |      2 |      1 | 2675 |  2789 |
|    99 |      2 |      1 |    0 |  2189 |
|    99 |      3 |      1 |    0 |  2189 |
|    99 |      3 |      2 |    0 |     0 |
|   103 |      2 |      1 | 1035 |  1023 |
|   104 |      2 |      1 | 1111 |  2897 |
|   108 |      2 |      1 |  223 |   255 |
|   109 |      2 |      1 |  532 |   376 |
|   110 |      3 |      1 |  692 |   722 |
|   110 |      3 |      2 |  692 |   215 |
|   110 |      2 |      1 |  215 |   722 |
|   111 |      2 |      1 |  267 |   374 |
|   112 |      2 |      1 |  269 |   267 |
|   113 |      2 |      1 |   60 |   268 |
