| row   | FS_ID | RECORD_ID | TABLE_ID | FSCYCLE | MEM_ID | FM_MM | SALRY_1 | SALRY_2 | BONCE_1 | BONCE_2 | ALLOW_1 | ALLOW_2 | INCOME1 | INDUST | COMMERCE | TRANS | CONSTRANT | FAINANCE | OWNWRK | OTHERS | INCOME2 | DIVIDENDS | BONDS | SAVINGAC | INVESTMENT | INCOME3 | LANDRENT | PROJCTRENT | MACHNRENT | CPYRIGHT | INCOME4 | MARIGGIFT | RETIREDSAL | TRETGRANT | SOCILASST | UNEMPALOW | RENTALLOW | OTHRGRANT | INCOME5 | ACC_COMP | LIFEINSUR | REMTABROD | REMTINSDE | LEGITEXP | CASHGIFT | KINDGIFT | INCOME6 | CSHINHERIT | DOWRY | SATELDLOAN | SELGOODS | LIFEINSRNC | WITHDRAWS | OTHERPROC | INCOME7 | DEPOSIT | WITHDRAW | LENDING | BORRWING | PROCEEDS | PAYMENTS | SELSCRTIS | BUYSCRTIS | SELLAND | BUYLAND | SELBUILD | BUYBUILD | SELOTHER | BUYOTHER | INCOME8 | nat_id |
+-------+-------+-----------+----------+---------+--------+-------+---------+---------+---------+---------+---------+---------+---------+--------+----------+-------+-----------+----------+--------+--------+---------+-----------+-------+----------+------------+---------+----------+------------+-----------+----------+---------+-----------+------------+-----------+-----------+-----------+-----------+-----------+---------+----------+-----------+-----------+-----------+----------+----------+----------+---------+------------+-------+------------+----------+------------+-----------+-----------+---------+---------+----------+---------+----------+----------+----------+-----------+-----------+---------+---------+----------+----------+----------+----------+---------+--------+
|  2122 |   475 |         2 |       15 |       3 |      1 |     1 |     429 |       0 |       0 |       0 |       0 |       0 |     429 |      0 |        0 |     0 |         0 |        0 |      0 |      0 |       0 |         0 |     0 |        0 |          0 |       0 |        0 |          0 |         0 |        0 |       0 |         0 |          0 |         0 |         0 |         0 |         0 |         0 |       0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |       0 |          0 |     0 |          0 |        0 |          0 |         0 |         0 |       0 |       0 |        0 |       0 |        0 |        0 |        0 |         0 |         0 |       0 |       0 |        0 |        0 |        0 |        0 |       0 |      2 |
|  2123 |   475 |         2 |       15 |       3 |      1 |     2 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |      0 |        0 |     0 |         0 |        0 |      0 |      0 |       0 |         0 |     0 |        0 |          0 |       0 |        0 |          0 |         0 |        0 |       0 |         0 |          0 |         0 |         0 |         0 |         0 |         0 |       0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |       0 |          0 |     0 |          0 |        0 |          0 |         0 |         0 |       0 |       0 |        0 |       0 |        0 |        0 |        0 |         0 |         0 |       0 |       0 |        0 |        0 |        0 |        0 |       0 |      2 |
|  2124 |   475 |         2 |       15 |       3 |      2 |     3 |     269 |       0 |       0 |       0 |       0 |       0 |     269 |      0 |        0 |     0 |         0 |        0 |      0 |      0 |       0 |         0 |     0 |        0 |          0 |       0 |        0 |          0 |         0 |        0 |       0 |         0 |          0 |         0 |         0 |         0 |         0 |         0 |       0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |       0 |          0 |     0 |          0 |        0 |          0 |         0 |         0 |       0 |       0 |        0 |       0 |        0 |        0 |        0 |         0 |         0 |       0 |       0 |        0 |        0 |        0 |        0 |       0 |      2 |
|  2125 |   475 |         2 |       15 |       3 |      1 |     1 |     429 |       0 |       0 |       0 |       0 |       0 |     429 |      0 |        0 |     0 |         0 |        0 |      0 |      0 |       0 |         0 |     0 |        0 |          0 |       0 |        0 |          0 |         0 |        0 |       0 |         0 |          0 |         0 |         0 |         0 |         0 |         0 |       0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |       0 |          0 |     0 |          0 |        0 |          0 |         0 |         0 |       0 |       0 |        0 |       0 |        0 |        0 |        0 |         0 |         0 |       0 |       0 |        0 |        0 |        0 |        0 |       0 |      2 |
|  2126 |   475 |         2 |       15 |       3 |      1 |     2 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |      0 |        0 |     0 |         0 |        0 |      0 |      0 |       0 |         0 |     0 |        0 |          0 |       0 |        0 |          0 |         0 |        0 |       0 |         0 |          0 |         0 |         0 |         0 |         0 |         0 |       0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |       0 |          0 |     0 |          0 |        0 |          0 |         0 |         0 |       0 |       0 |        0 |       0 |        0 |        0 |        0 |         0 |         0 |       0 |       0 |        0 |        0 |        0 |        0 |       0 |      2 |
|  2127 |   475 |         2 |       15 |       3 |      1 |     3 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |      0 |        0 |     0 |         0 |        0 |      0 |      0 |       0 |         0 |     0 |        0 |          0 |       0 |        0 |          0 |         0 |        0 |       0 |         0 |          0 |         0 |         0 |         0 |         0 |         0 |       0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |       0 |          0 |     0 |          0 |        0 |          0 |         0 |         0 |       0 |       0 |        0 |       0 |        0 |        0 |        0 |         0 |         0 |       0 |       0 |        0 |        0 |        0 |        0 |       0 |      2 |
|  2128 |   475 |         2 |       15 |       3 |      2 |     1 |     269 |       0 |       0 |       0 |       0 |       0 |     269 |      0 |        0 |     0 |         0 |        0 |      0 |      0 |       0 |         0 |     0 |        0 |          0 |       0 |        0 |          0 |         0 |        0 |       0 |         0 |          0 |         0 |         0 |         0 |         0 |         0 |       0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |       0 |          0 |     0 |          0 |        0 |          0 |         0 |         0 |       0 |       0 |        0 |       0 |        0 |        0 |        0 |         0 |         0 |       0 |       0 |        0 |        0 |        0 |        0 |       0 |      2 |
|  2129 |   475 |         2 |       15 |       3 |      2 |     2 |     269 |       0 |       0 |       0 |       0 |       0 |     269 |      0 |        0 |     0 |         0 |        0 |      0 |      0 |       0 |         0 |     0 |        0 |          0 |       0 |        0 |          0 |         0 |        0 |       0 |         0 |          0 |         0 |         0 |         0 |         0 |         0 |       0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |       0 |          0 |     0 |          0 |        0 |          0 |         0 |         0 |       0 |       0 |        0 |       0 |        0 |        0 |        0 |         0 |         0 |       0 |       0 |        0 |        0 |        0 |        0 |       0 |      2 |
|  2130 |   475 |         2 |       15 |       3 |      1 |     3 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |      0 |        0 |     0 |         0 |        0 |      0 |      0 |       0 |         0 |     0 |        0 |          0 |       0 |        0 |          0 |         0 |        0 |       0 |         0 |          0 |         0 |         0 |         0 |         0 |         0 |       0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |       0 |          0 |     0 |          0 |        0 |          0 |         0 |         0 |       0 |       0 |        0 |       0 |        0 |        0 |        0 |         0 |         0 |       0 |       0 |        0 |        0 |        0 |        0 |       0 |      2 |
|  2341 |   528 |         2 |       15 |       1 |      1 |     1 |     484 |       0 |       0 |       0 |       0 |       0 |     484 |      0 |        0 |     0 |         0 |        0 |      0 |      0 |       0 |         0 |     0 |        0 |          0 |       0 |        0 |          0 |         0 |        0 |       0 |         0 |          0 |         0 |         0 |         0 |         0 |         0 |       0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |       0 |          0 |     0 |          0 |        0 |          0 |         0 |         0 |       0 |       0 |        0 |       0 |        0 |        0 |        0 |         0 |         0 |       0 |       0 |        0 |        0 |        0 |        0 |       0 |      2 |
