mysql> select CLASS_INCOMES,substring(i,1,4),sum(p*qt),nat_id from e2,incomeclass where fs_id=f group by CLASS_INCOMES,substring(i,1,4) order by nat_id,CLASS_INCOMES,substring(i,1,4);
+---------------+------------------+---------------+--------+
| CLASS_INCOMES | substring(i,1,4) | sum(p*qt)     | nat_id |
|            20 | 0531             |  2031.1600000 |      1 |
|            20 | 0532             |   736.0100002 |      1 |
|            20 | 0533             |   255.5000000 |      1 |
|            20 | 0540             |  2220.0300020 |      1 |
|            20 | 0561             |  2864.7750054 |      1 |
|            20 | 0562             |  2490.9999998 |      1 |
|            20 | 0721             |  2067.3500005 |      1 |
|            20 | 0722             |  5586.5399620 |      1 |
|            20 | 0723             |  2037.0499993 |      1 |
|            20 | 0830             |  3397.8499981 |      1 |
|            20 | 0931             |   478.4200001 |      1 |
|            20 | 0941             |  1765.6000006 |      1 |
|            20 | 0953             |     1.5000000 |      1 |
|            20 | 0954             |   414.6699999 |      1 |
|            20 | 1010             |  1352.0000000 |      1 |
|            20 | 1111             |  2826.8999999 |      1 |
|            20 | 1112             |   292.5999990 |      1 |
|            20 | 1120             |   605.5000000 |      1 |
|            20 | 1211             |  1422.6000012 |      1 |
|            20 | 1212             |    97.8900000 |      1 |
|            20 | 1213             |  5602.2299995 |      1 |
|            20 | 1270             |  3194.3500023 |      1 |
|            20 | 1320             |  8491.5800009 |      1 |
|            21 | 0111             |  1482.6849909 |      1 |
|            21 | 0112             |  2807.3549986 |      1 |
|            21 | 0113             |   684.6750007 |      1 |
|            21 | 0114             |   863.6700016 |      1 |
|            21 | 0115             |   231.8100003 |      1 |
|            21 | 0116             |   538.0499993 |      1 |
|            21 | 0117             |   736.4800008 |      1 |
|            21 | 0118             |   326.4350004 |      1 |
|            21 | 0119             |   289.5100031 |      1 |
|            21 | 0121             |   417.7500074 |      1 |
|            21 | 0122             |   551.8299993 |      1 |
|            21 | 0220             |   146.7999981 |      1 |
|            21 | 0312             |  4922.4400011 |      1 |
|            21 | 0313             |   200.1000000 |      1 |
|            21 | 0314             |   758.6500007 |      1 |
|            21 | 0321             |  1117.1499996 |      1 |
|            21 | 0411             | 17895.0000000 |      1 |
|            21 | 0421             |  6450.0000000 |      1 |
|            21 | 0431             |    89.7000000 |      1 |
|            21 | 0432             |   340.2000000 |      1 |
|            21 | 0441             |   540.0000003 |      1 |
|            21 | 0442             |   288.0000001 |      1 |
|            21 | 0451             |  1019.4000001 |      1 |
|            21 | 0452             |    78.0000000 |      1 |
|            21 | 0454             |    39.0600000 |      1 |
|            21 | 0511             |  1199.0300002 |      1 |
|            21 | 0512             |   275.3000001 |      1 |
|            21 | 0520             |   771.9399997 |      1 |
|            21 | 0531             |   984.4500001 |      1 |
|            21 | 0532             |   260.3200000 |      1 |
|            21 | 0533             |   407.0000000 |      1 |
|            21 | 0540             |   933.5249989 |      1 |
|            21 | 0552             |   160.0450003 |      1 |
|            21 | 0561             |  1692.6450002 |      1 |
|            21 | 0562             |  2626.4999975 |      1 |
|            21 | 0611             |   569.7899998 |      1 |
|            21 | 0612             |    28.4600000 |      1 |
|            21 | 0621             |   318.9999999 |      1 |
|            21 | 0622             |   180.0000000 |      1 |
|            21 | 0623             |    75.0000000 |      1 |
|            21 | 0721             |   739.6000000 |      1 |
|            21 | 0722             |  4025.4999894 |      1 |
|            21 | 0723             |  1401.8499994 |      1 |
|            21 | 0733             |   719.0000000 |      1 |
|            21 | 0820             |  1506.9500000 |      1 |
|            21 | 0830             |  2220.8499979 |      1 |
|            21 | 0911             |   385.0500000 |      1 |
|            21 | 0913             |    61.7500000 |      1 |
|            21 | 0931             |   181.2500001 |      1 |
|            21 | 0932             |    64.4500001 |      1 |
|            21 | 0933             |    56.4000000 |      1 |
|            21 | 0941             |   632.7500003 |      1 |
|            21 | 0952             |    21.4000011 |      1 |
|            21 | 0953             |     8.2500000 |      1 |
|            21 | 0954             |  1387.2299994 |      1 |
|            21 | 1111             |  1784.7900008 |      1 |
|            21 | 1112             |   243.9500000 |      1 |
|            21 | 1120             |    62.0000000 |      1 |
|            21 | 1211             |   884.7500007 |      1 |
|            21 | 1212             |    37.2500000 |      1 |
|            21 | 1213             |  2856.1249993 |      1 |
|            21 | 1231             |   623.5500003 |      1 |
|            21 | 1232             |   454.5400000 |      1 |
|            21 | 1270             |  2933.5800000 |      1 |
|            21 | 1320             |  7268.0099997 |      1 |
|            22 | 0111             |  1060.4440018 |      1 |
|            22 | 0112             |  1827.8250007 |      1 |
|            22 | 0113             |   746.6400003 |      1 |
|            22 | 0114             |   770.9200001 |      1 |
|            22 | 0115             |   214.1800002 |      1 |
|            22 | 0116             |   508.1549999 |      1 |
|            22 | 0117             |   640.7200005 |      1 |
