
mysql> select nat_id,
    -> case when CLASS_INCOMES>15 then 15 when CLASS_INCOMES<0 then 0 else CLASS_INCOMES end as classIncome
    -> ,substring(i,1,4) as subProduct,sum(p*qt) as expenditure from e2,incomeclass where fs_id=f group by 
    -> case when CLASS_INCOMES>15 then 15 when CLASS_INCOMES<0 then 0 else CLASS_INCOMES end
    -> ,substring(i,1,4) order by nat_id,
    -> case when CLASS_INCOMES>15 then 15 when CLASS_INCOMES<0 then 0 else CLASS_INCOMES end
    -> ,substring(i,1,4);
+--------+-------------+------------+-----------------+
| nat_id | classIncome | subProduct | expenditure     |
|      1 |          15 | 1010       |   75868.8250000 |
|      1 |          15 | 1020       |  151078.8999986 |
|      1 |          15 | 1030       |    6652.0000000 |
|      1 |          15 | 1040       |   39423.5000000 |
|      1 |          15 | 1111       |  282146.1849966 |
|      1 |          15 | 1112       |   64922.6799986 |
|      1 |          15 | 1120       |  100483.1600006 |
|      1 |          15 | 1211       |  127000.1950132 |
|      1 |          15 | 1212       |   10914.1799992 |
|      1 |          15 | 1213       |  420595.6798744 |
|      1 |          15 | 1231       |  114712.9530020 |
|      1 |          15 | 1232       |   94049.7749980 |
|      1 |          15 | 1240       |     125.0000000 |
|      1 |          15 | 1251       |     549.2500000 |
|      1 |          15 | 1253       |    1106.0000000 |
|      1 |          15 | 1254       |   10720.6530001 |
|      1 |          15 | 1255       |     410.2500000 |
|      1 |          15 | 1270       |  963264.5849978 |
|      1 |          15 | 1310       |   43358.9249992 |
|      1 |          15 | 1320       | 1014379.9259963 |
|      2 |           2 | 0111       |      25.6500000 |
|      2 |           2 | 0112       |      21.7000000 |
|      2 |           2 | 0113       |      16.1000000 |
|      2 |           2 | 0114       |      11.4000000 |
|      2 |           2 | 0115       |       6.5000000 |
|      2 |           2 | 0116       |       6.0500000 |
|      2 |           2 | 0117       |      13.8200001 |
|      2 |           2 | 0118       |       2.6850000 |
|      2 |           2 | 0119       |       8.2600003 |
