mysql> SELECT FS_ID,SUM(INCOME1)+SUM(INCOME2)+SUM(INCOME3)+SUM(INCOME4) AS CY ,COUNT(MEM_ID) FROM INCOME GROUP BY FS_ID,MEM_ID;
+-------+-------+---------------+
| FS_ID | CY    | COUNT(MEM_ID) |
|   163 |     0 |             3 |
|   163 |  3567 |             3 |
|   164 |  6000 |             3 |
|   164 |     0 |             3 |
|   164 |  5349 |             3 |
|   164 |  3207 |             3 |
|   164 |  3567 |             3 |
|   166 |  6000 |             3 |
|   166 |     0 |             3 |
|   166 |  3567 |             3 |
|   166 |  2850 |             3 |
|   167 |  6000 |             3 |
|   167 |  4635 |             3 |
|   167 |  4458 |             3 |
|   167 |  3921 |             3 |
|   167 |  4635 |             3 |
|   167 |  4812 |             3 |
|   167 |  3207 |             3 |
|   167 |  5349 |             3 |
|   167 |  5526 |             3 |
|   170 |  6000 |             3 |
|   170 |     0 |             3 |
|   172 |  5109 |             3 |
|   172 |  6000 |             3 |
|   172 |     0 |             3 |
|   174 |  4500 |             3 |
|   174 |     0 |             3 |
|   174 |     0 |             3 |
|   175 | 10917 |             3 |
|   175 |  4278 |             3 |
|   177 |  4500 |             3 |
|   177 |     0 |             3 |
|   177 |  3567 |             3 |
|   177 |  3567 |             3 |
|   178 |  8778 |             3 |
|   178 |  3567 |             3 |
|   178 |  5349 |             3 |
|   178 |  6417 |             3 |
|   179 |  4500 |             3 |
|   179 |  4278 |             3 |
|   179 |  3567 |             3 |
|   179 |     0 |             3 |
|   179 |  3567 |             3 |
|   179 |  3567 |             3 |
|   180 |  4500 |             3 |
|   180 |  NULL |             3 |
|   180 |     0 |             3 |
|   181 |  4500 |             3 |
|   185 |  4500 |             3 |
|   185 |     0 |             3 |
|   185 |  5349 |             3 |
|   185 |  4278 |             3 |
|   186 |  4500 |             3 |
|   186 |     0 |             3 |
|   187 |     0 |             3 |
|   187 |     0 |             3 |
|   188 |  4500 |             3 |
|   188 |     0 |             3 |
|   188 |  4992 |             3 |
|   188 |  3567 |             3 |
|   190 |  8634 |             3 |
|   191 |  1500 |             3 |
|   191 |  1287 |             3 |
|   195 |  6000 |             3 |
|   195 |     0 |             3 |
|   195 |  3207 |             3 |
|   195 |  4278 |             3 |
|   195 |  4635 |             3 |
|   195 |     0 |             3 |
|   198 |  6000 |             3 |
|   198 |     0 |             3 |
|   201 |  6600 |             3 |
|   201 |  3567 |             3 |
|   202 | 14202 |             3 |
|   202 |  3921 |             3 |
|   205 |  9849 |             3 |
|   205 |  3567 |             3 |
|   205 |     0 |             3 |
|   207 |     0 |             3 |
|   207 |     0 |             3 |
|   208 |  3000 |             3 |
|   208 |     0 |             3 |
|   208 |  3567 |             3 |
|   209 | 12273 |             3 |
|   209 |  3744 |             3 |
|   211 |  6954 |             3 |
|   211 |  3567 |             3 |
|   211 |     0 |             3 |
|   212 |  4992 |             3 |
|   213 |  1500 |             3 |
|   215 |  4500 |             3 |
|   215 |  6417 |             3 |
|   216 |  7917 |             3 |
|   216 |  7134 |             3 |
|   217 |  4500 |             3 |
|   217 |     0 |             3 |
|   218 |  4278 |             3 |
|   218 |  3567 |             3 |
|   218 |  4278 |             3 |
|   218 |  3567 |             3 |
|   219 |  4500 |             3 |
|   219 |     0 |             3 |
|   219 |  6417 |             3 |
|   219 |  5349 |             3 |
|   219 |  5349 |             3 |
|   219 |  6417 |             3 |
|   221 |  6849 |             3 |
|   221 |  6417 |             3 |
|   221 |     0 |             3 |
|   221 |     0 |             3 |
|   223 | 17835 |             3 |
|   223 |  5349 |             3 |
|   225 |  6600 |             3 |
|   225 |     0 |             3 |
|   225 |  3384 |             3 |
|   225 |  1782 |             3 |
|   225 |  3567 |             3 |
|   226 |  7134 |             3 |
|   226 |  3567 |             3 |
|   227 |  5400 |             3 |
|   227 |     0 |             3 |
|   227 |  2316 |             3 |
|   229 |  5400 |             3 |
|   229 |     0 |             3 |
|   230 |  3993 |             3 |
|   231 |  6567 |             3 |
|   231 |  3567 |             3 |
|   233 | 10035 |             3 |
|   233 |     0 |             3 |
|   234 |  4500 |             3 |
|   234 |  2838 |             3 |
|   234 |  2478 |             3 |
|   234 |  3567 |             3 |
|   237 | 11634 |             3 |
|   237 |  2136 |             3 |
|   237 |  4278 |             3 |
|   237 |  3567 |             3 |
|   239 |  5817 |             3 |
|   239 |  2673 |             3 |
|   241 |  4500 |             3 |
|   241 |  3921 |             3 |
|   241 |  2136 |             3 |
|   242 | 13500 |             3 |
|   242 |     0 |             3 |
|   243 |  8667 |             3 |
|   243 |  3924 |             3 |
|   244 |  6000 |             3 |
|   244 |     0 |             3 |
|   244 |  4992 |             3 |
|   244 |  5349 |             3 |
|   244 |  4278 |             3 |
|   244 |  5349 |             3 |
|   245 |  4500 |             3 |
|   245 |     0 |             3 |
|   245 |  4278 |             3 |
|   245 |  5703 |             3 |
|   246 |  6849 |             3 |
|   246 |  3567 |             3 |
|   247 |  7134 |             3 |
|   247 |  4278 |             3 |
|   249 |  4500 |             3 |
|   249 |     0 |             3 |
|   249 |  7134 |             3 |
|   249 |  4278 |             3 |
|   252 | 10200 |             3 |
|   252 |  7134 |             3 |
|   252 |  5349 |             3 |
|   252 |  4278 |             3 |
|   252 |  3921 |             3 |
|   252 |  3027 |             3 |
|   252 |     0 |             3 |
|   254 |  3600 |             3 |
|   254 |  5349 |             3 |
|   254 |  4278 |             3 |
|   256 | 20268 |             3 |
|   256 |  6060 |             3 |
|   258 | 25335 |             3 |
|   258 |     0 |             3 |
|   258 |     0 |             3 |
|   258 |     0 |             3 |
|   259 | 14091 |             3 |
|   259 |  3921 |             3 |
|   259 |     0 |             3 |
|   261 |  9000 |             3 |
|   261 |     0 |             3 |
|   261 |  6060 |             3 |
|   261 |  2850 |             3 |
|   262 | 12417 |             3 |
|   262 |  3387 |             3 |
|   262 |     0 |             3 |
|   264 | 18000 |             3 |
|   264 |     0 |             3 |
|   264 |     0 |             3 |
|   265 | 12000 |             3 |
|   265 |     0 |             3 |
|   265 |  8916 |             3 |
|   265 |  8559 |             3 |
|   265 |  7134 |             3 |
|   265 |  7134 |             3 |
|   265 |  3672 |             3 |
|   266 | 16101 |             3 |
|   266 |  9987 |             3 |
|   267 | 12534 |             3 |
|   267 |  3567 |             3 |
|   268 |  5400 |             3 |
|   268 |     0 |             3 |
|   271 |  6000 |             3 |
|   272 |  3567 |             3 |
|   272 |  2136 |             3 |
|   273 |  6000 |             3 |
|   273 |     0 |             3 |
|   273 |  2673 |             3 |
|   274 |  5349 |             3 |
|   274 |  3567 |             3 |
|   275 |  4635 |             3 |
|   276 | 15873 |             3 |
|   276 |     0 |             3 |
|   276 |  2850 |             3 |
|   277 | 10203 |             3 |
|   277 |     0 |             3 |
|   277 |  3027 |             3 |
|   278 |  4500 |             3 |
|   278 |     0 |             3 |
|   278 |  6060 |             3 |
|   278 |  3567 |             3 |
|   278 |     0 |             3 |
|   279 |  4500 |             3 |
|   279 |     0 |             3 |
|   279 |  4635 |             3 |
|   280 |  4500 |             3 |
|   280 |  5349 |             3 |
|   280 |  3207 |             3 |
|   280 |  3387 |             3 |
|   281 |  4500 |             3 |
|   281 |  3207 |             3 |
|   281 |     0 |             3 |
|   282 |  9384 |             3 |
|   283 | 10203 |             3 |
|   283 |     0 |             3 |
|   286 |  4500 |             3 |
|   286 |     0 |             3 |
|   286 |  4278 |             3 |
|   286 |  3207 |             3 |
|   288 |  5577 |             3 |
|   288 |     0 |             3 |
|   288 |     0 |             3 |
|   289 |  6078 |             3 |
|   290 |  4500 |             3 |
|   290 |  2493 |             3 |
|   291 |  4500 |             3 |
|   291 |     0 |             3 |
|   291 |     0 |             3 |
|   292 | 11634 |             3 |
|   293 |  4407 |             3 |
|   293 |  2493 |             3 |
|   293 |     0 |             3 |
|   295 |  6000 |             3 |
|   295 |  6060 |             3 |
|   297 |  6000 |             3 |
|   297 |  6417 |             3 |
|   300 |  6000 |             3 |
|   300 |     0 |             3 |
|   300 |  5703 |             3 |
|   301 |     0 |             3 |
|   301 |  3207 |             3 |
|   301 |     0 |             3 |
|   302 |  9000 |             3 |
|   302 | 14268 |             3 |
|   302 |     0 |             3 |
|   302 |     0 |             3 |
|   303 |  9492 |             3 |
|   303 |  5349 |             3 |
|   303 |     0 |             3 |
|   303 |     0 |             3 |
|   304 |  7581 |             3 |
|   304 |  4131 |             3 |
|   304 |     0 |             3 |
|   306 |  4500 |             3 |
|   306 |     0 |             3 |
|   306 |     0 |             3 |
|   306 |     0 |             3 |
|   308 |  4500 |             3 |
|   308 |     0 |             3 |
|   308 |  3207 |             3 |
|   309 | 11586 |             3 |
|   309 |     0 |             3 |
|   309 |  5349 |             3 |
|   310 | 11634 |             3 |
|   310 |     0 |             3 |
|   312 |  8421 |             3 |
|   312 |  4635 |             3 |
|   313 |  4500 |             3 |
|   313 |     0 |             3 |
|   313 |  2850 |             3 |
|   313 |  4992 |             3 |
|   313 |  5349 |             3 |
|   313 |  3027 |             3 |
|   314 |  4500 |             3 |
|   314 |  4635 |             3 |
|   314 |     0 |             3 |
|   314 |  2850 |             3 |
|   314 |  4278 |             3 |
|   315 |     0 |             3 |
|   315 |     0 |             3 |
|   315 |     0 |             3 |
|   315 |     0 |             3 |
|   316 |  5703 |             3 |
|   316 |  4992 |             3 |
|   317 |  9741 |             3 |
|   317 |  3921 |             3 |
|   317 |  4278 |             3 |
|   317 |  4458 |             3 |
|   318 |  2100 |             3 |
|   318 |     0 |             3 |
|   318 |  3027 |             3 |
|   318 |  2640 |             3 |
|   318 |     0 |             3 |
|   319 |  8700 |             3 |
|   319 |  6600 |             3 |
|   320 |  2100 |             3 |
|   320 |     0 |             3 |
|   320 |     0 |             3 |
|   320 |     0 |             3 |
|   323 |  6135 |             3 |
|   324 |  6792 |             3 |
|   324 |  2136 |             3 |
|   325 |  2400 |             3 |
|   325 |  4101 |             3 |
|   326 |  4800 |             3 |
|   326 |  3207 |             3 |
|   327 |  1800 |             3 |
|   328 |  6294 |             3 |
|   328 |  5598 |             3 |
|   329 |  3000 |             3 |
|   329 |  4278 |             3 |
|   329 |  3567 |             3 |
|   329 |  1068 |             3 |
|   329 |     0 |             3 |
|   329 |     0 |             3 |
|   329 |     0 |             3 |
|   330 |  7737 |             3 |
|   330 |  3420 |             3 |
|   330 |     0 |             3 |
|   330 |  3813 |             3 |
|   333 |  1500 |             3 |
|   333 |  3207 |             3 |
|   333 |     0 |             3 |
|   334 |  5133 |             3 |
|   335 |  1500 |             3 |
|   336 |  7203 |             3 |
|   336 |  1959 |             3 |
|   336 |     0 |             3 |
|   336 |     0 |             3 |
|   337 |  5400 |             3 |
|   337 |     0 |             3 |
|   337 |  6060 |             3 |
|   337 |     0 |             3 |
|   337 |     0 |             3 |
|   338 |  9135 |             3 |
|   338 |  4278 |             3 |
|   339 |  7134 |             3 |
|   339 |  6417 |             3 |
