| FS_ID | NAT_ID | membersCount | SUM(INCOME1) | SUM(INCOME2) | SUM(INCOME3) | SUM(INCOME4) | SUM(INCOME5) | SUM(INCOME6) | SUM(INCOME7) | SUM(INCOME8) | INCOMES | CLASS_INCOMES | CLASS_INCOME1 | CLASS_INCOME2 | CLASS_INCOME3 | CLASS_INCOME4 | CLASS_INCOME5 | CLASS_INCOME6 | CLASS_INCOME7 | CLASS_INCOME8 |
+-------+--------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+
|  3484 |      1 |            3 |         3357 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    3357 |            17 |            17 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  3486 |      1 |            3 |         3426 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    3426 |            17 |            17 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|   106 |      1 |            3 |         2493 |            0 |            0 |         1050 |            0 |            0 |            0 |            0 |    3543 |            18 |            13 |             0 |             0 |             5 |             0 |             0 |             0 |             0 |
|  2032 |      1 |            3 |         3123 |            0 |            0 |            0 |            0 |          450 |            0 |            0 |    3573 |            18 |            16 |             0 |             0 |             0 |             0 |             2 |             0 |             0 |
|  3499 |      1 |            3 |         3498 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    3498 |            18 |            18 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|   392 |      1 |            3 |            0 |            0 |            0 |            0 |         3750 |            0 |            0 |            0 |    3750 |            19 |             0 |             0 |             0 |             0 |            19 |             0 |             0 |             0 |
|  1326 |      1 |            3 |            0 |         1500 |            0 |            0 |         2190 |            0 |            0 |            0 |    3690 |            19 |             0 |             8 |             0 |             0 |            11 |             0 |             0 |             0 |
|  1540 |      1 |            3 |            0 |            0 |            0 |            0 |         3750 |            0 |            0 |            0 |    3750 |            19 |             0 |             0 |             0 |             0 |            19 |             0 |             0 |             0 |
|  2120 |      1 |            3 |            0 |            0 |            0 |         1050 |         2700 |            0 |            0 |            0 |    3750 |            19 |             0 |             0 |             0 |             5 |            14 |             0 |             0 |             0 |
|  2184 |      1 |            3 |         3387 |          750 |            0 |            0 |            0 |            0 |            0 |         -338 |    3799 |            19 |            17 |             4 |             0 |             0 |             0 |             0 |             0 |            -1 |
|  3482 |      1 |            6 |            0 |            0 |            0 |         1050 |         2700 |            0 |            0 |            0 |    3750 |            19 |             0 |             0 |             0 |             5 |            14 |             0 |             0 |             0 |
|  3776 |      1 |            3 |         3777 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    3777 |            19 |            19 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|   100 |      1 |            3 |         3288 |            0 |            0 |          750 |            0 |            0 |            0 |            0 |    4038 |            20 |            17 |             0 |             0 |             4 |             0 |             0 |             0 |             0 |
|  1159 |      1 |            3 |            0 |            0 |            0 |         1500 |         2535 |            0 |            0 |            0 |    4035 |            20 |             0 |             0 |             0 |             8 |            13 |             0 |             0 |             0 |
|  2040 |      1 |            9 |         2853 |            0 |            0 |            0 |            0 |         1164 |            0 |            0 |    4017 |            20 |            15 |             0 |             0 |             0 |             0 |             6 |             0 |             0 |
|  2490 |      1 |            3 |         3243 |            0 |            0 |          750 |            0 |            0 |            0 |            0 |    3993 |            20 |            16 |             0 |             0 |             4 |             0 |             0 |             0 |             0 |
|  3935 |      1 |            9 |         1290 |            0 |            0 |            0 |         2760 |            0 |            0 |            0 |    4050 |            20 |             7 |             0 |             0 |             0 |            14 |             0 |             0 |             0 |
|  4004 |      1 |            3 |            0 |            0 |            0 |         2100 |         1950 |            0 |            0 |            0 |    4050 |            20 |             0 |             0 |             0 |            11 |            10 |             0 |             0 |             0 |
|   327 |      1 |            3 |            0 |            0 |            0 |         1800 |         2400 |            0 |            0 |            0 |    4200 |            21 |             0 |             0 |             0 |             9 |            12 |             0 |             0 |             0 |
|   422 |      1 |            3 |         4170 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    4170 |            21 |            21 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  1221 |      1 |            9 |         4104 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    4104 |            21 |            21 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  1431 |      1 |            3 |         4089 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    4089 |            21 |            21 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  2123 |      1 |            3 |            0 |            0 |            0 |         1500 |            0 |         2730 |            0 |            0 |    4230 |            21 |             0 |             0 |             0 |             8 |             0 |            14 |             0 |             0 |
|  4044 |      1 |            3 |            0 |            0 |            0 |         2400 |         1800 |            0 |            0 |            0 |    4200 |            21 |             0 |             0 |             0 |            12 |             9 |             0 |             0 |             0 |
|   230 |      1 |            3 |         3993 |            0 |            0 |            0 |          450 |            0 |            0 |            0 |    4443 |            22 |            20 |             0 |             0 |             0 |             2 |             0 |             0 |             0 |
|   417 |      1 |            3 |         4320 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    4320 |            22 |            22 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  1220 |      1 |            6 |         4287 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    4287 |            22 |            22 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  1418 |      1 |           12 |            0 |            0 |            0 |            0 |         2625 |         1755 |            0 |            0 |    4380 |            22 |             0 |             0 |             0 |             0 |            13 |             9 |             0 |             0 |
|  1541 |      1 |            3 |         4434 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    4434 |            22 |            22 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  2013 |      1 |            3 |            0 |            0 |            0 |         1500 |         2805 |            0 |            0 |            0 |    4305 |            22 |             0 |             0 |             0 |             8 |            14 |             0 |             0 |             0 |
|  3773 |      1 |            3 |         4428 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    4428 |            22 |            22 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  3778 |      1 |            3 |            0 |            0 |            0 |         1950 |         2400 |            0 |            0 |            0 |    4350 |            22 |             0 |             0 |             0 |            10 |            12 |             0 |             0 |             0 |
|  4065 |      1 |            9 |         4320 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    4320 |            22 |            22 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|    77 |      1 |            6 |            0 |            0 |            0 |         2250 |         2400 |            0 |            0 |            0 |    4650 |            23 |             0 |             0 |             0 |            11 |            12 |             0 |             0 |             0 |
|   217 |      1 |            6 |            0 |            0 |            0 |         4500 |            0 |            0 |            0 |            0 |    4500 |            23 |             0 |             0 |             0 |            23 |             0 |             0 |             0 |             0 |
|  1216 |      1 |            3 |         4590 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    4590 |            23 |            23 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
